timestamp: 2026-04-12 00:13:40
snapshot_tag: 20260411_083117_843fe3a41e75
seed: 0
profile: solid
cfg_name: C2_soft
cfg: {"iid_n_occluders_max": 6, "iid_n_occluders_min": 2, "iid_occ_size_max": 6, "iid_occ_size_min": 3, "img_size": 32, "ood_center_radius": 12, "ood_noise_occluders": 2, "ood_noise_radius": 3, "thickness_max": 4, "thickness_min": 2}
self_sha256: 72112815e9184c7a4ce8a297d161456162e10d9f6b3409af991e3216f7da74cf
cmd: /mnt/c/Users/frederick/Documents/Compatibility_Obstructions_in_Fibered_Relational_Systems/Python/private/aslmt/snapshots/aslmt_law_v5b_amodal_localclass_20260411_083117_843fe3a41e75/aslmt_train_law_v5b_amodal_localclass_family_20260411_083117_843fe3a41e75.py --snapshot-tag 20260411_083117_843fe3a41e75 --seed 0 --profile solid --device cuda --cfg-name C2_soft --out-jsonl /mnt/c/Users/frederick/Documents/Compatibility_Obstructions_in_Fibered_Relational_Systems/Python/private/aslmt/runs/aslmt_law_v5b_amodal_localclass_20260411_083117_843fe3a41e75/master_20260411_083117_843fe3a41e75.jsonl --out-txt /mnt/c/Users/frederick/Documents/Compatibility_Obstructions_in_Fibered_Relational_Systems/Python/private/aslmt/runs/aslmt_law_v5b_amodal_localclass_20260411_083117_843fe3a41e75/log_20260411_083117_843fe3a41e75_C2_soft_seed0.txt
baselines: ["B1_local_fcn", "B2_local_fcn_wide_rf9", "B3_window_mlp8"]
step 1/30000 A.seg=0.7105 A.jepa=0.3665 | B_last.seg=0.6958
step 2000/30000 A.seg=0.0235 A.jepa=-0.7706 | B_last.seg=0.2425
step 4000/30000 A.seg=0.0102 A.jepa=-0.7971 | B_last.seg=0.2243
step 6000/30000 A.seg=0.0090 A.jepa=-0.7965 | B_last.seg=0.2248
step 8000/30000 A.seg=0.0056 A.jepa=-0.8016 | B_last.seg=0.2200
step 10000/30000 A.seg=0.0050 A.jepa=-0.7881 | B_last.seg=0.2149
step 12000/30000 A.seg=0.0045 A.jepa=-0.7960 | B_last.seg=0.2258
step 14000/30000 A.seg=0.0036 A.jepa=-0.8122 | B_last.seg=0.2069
step 16000/30000 A.seg=0.0039 A.jepa=-0.7854 | B_last.seg=0.2087
step 18000/30000 A.seg=0.0039 A.jepa=-0.8078 | B_last.seg=0.2139
step 20000/30000 A.seg=0.0027 A.jepa=-0.8010 | B_last.seg=0.2204
step 22000/30000 A.seg=0.0039 A.jepa=-0.8026 | B_last.seg=0.2179
step 24000/30000 A.seg=0.0075 A.jepa=-0.7927 | B_last.seg=0.2068
step 26000/30000 A.seg=0.0024 A.jepa=-0.8002 | B_last.seg=0.2211
step 28000/30000 A.seg=0.0055 A.jepa=-0.7867 | B_last.seg=0.2194
step 30000/30000 A.seg=0.0039 A.jepa=-0.8247 | B_last.seg=0.2071
