/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v13_phaseA2_unified_nscalable_poswtdice_pairrank_imgcuerank_kdet_spaced2_64_20260418_002703_2b3bdf10b357/aslmt_train_v13_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_pairrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 0 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 8 --z-classes 8 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v13_phaseA2_unified_nscalable_poswtdice_pairrank_imgcuerank_kdet_spaced2_64_20260418_002703_2b3bdf10b357/v13_master_20260418_002703_2b3bdf10b357.jsonl --out-ckpt /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v13_phaseA2_unified_nscalable_poswtdice_pairrank_imgcuerank_kdet_spaced2_64_20260418_002703_2b3bdf10b357/ckpt_20260418_002703_2b3bdf10b357_n8_z8_seed0.pt --out-faildump-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v13_phaseA2_unified_nscalable_poswtdice_pairrank_imgcuerank_kdet_spaced2_64_20260418_002703_2b3bdf10b357/faildump_20260418_002703_2b3bdf10b357_n8_z8_seed0.jsonl

step=250/9000 loss=10.100573 (A_seg=0.664438, A_bce=0.449485, A_dice=0.859814, A_z=1.858886, A_pos=0.009605, A_rank_img=0.486907, A_rank_cue=0.070304, Bimg=0.045209, Bcue=0.058449)  z_acc=0.7812 k_acc=1.0000
step=500/9000 loss=7.713126 (A_seg=0.469562, A_bce=0.275953, A_dice=0.774435, A_z=1.437736, A_pos=0.007964, A_rank_img=0.211237, A_rank_cue=0.000344, Bimg=0.038328, Bcue=0.054178)  z_acc=0.8750 k_acc=1.0000
step=750/9000 loss=5.961775 (A_seg=0.362524, A_bce=0.185354, A_dice=0.708682, A_z=1.114969, A_pos=0.002531, A_rank_img=0.095080, A_rank_cue=0.000003, Bimg=0.038301, Bcue=0.055248)  z_acc=1.0000 k_acc=1.0000
step=1000/9000 loss=4.884012 (A_seg=0.349975, A_bce=0.190660, A_dice=0.637258, A_z=0.900522, A_pos=0.003079, A_rank_img=0.122624, A_rank_cue=0.000001, Bimg=0.037810, Bcue=0.054047)  z_acc=1.0000 k_acc=1.0000
step=1250/9000 loss=4.003920 (A_seg=0.210273, A_bce=0.097112, A_dice=0.452647, A_z=0.758700, A_pos=0.000595, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.043314, Bcue=0.057642)  z_acc=1.0000 k_acc=1.0000
step=1500/9000 loss=3.391035 (A_seg=0.189622, A_bce=0.084135, A_dice=0.421948, A_z=0.637638, A_pos=0.000685, A_rank_img=0.052200, A_rank_cue=0.000000, Bimg=0.038402, Bcue=0.055958)  z_acc=1.0000 k_acc=1.0000
step=1750/9000 loss=2.729308 (A_seg=0.110753, A_bce=0.036666, A_dice=0.296348, A_z=0.523693, A_pos=0.000359, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.037988, Bcue=0.054357)  z_acc=1.0000 k_acc=1.0000
step=2000/9000 loss=2.545239 (A_seg=0.202270, A_bce=0.091777, A_dice=0.441972, A_z=0.417737, A_pos=0.000793, A_rank_img=0.000008, A_rank_cue=1.016337, Bimg=0.043043, Bcue=0.057871)  z_acc=1.0000 k_acc=1.0000
step=2250/9000 loss=1.784344 (A_seg=0.128269, A_bce=0.051176, A_dice=0.308370, A_z=0.331144, A_pos=0.000709, A_rank_img=0.000716, A_rank_cue=0.000000, Bimg=0.036648, Bcue=0.053965)  z_acc=1.0000 k_acc=1.0000
step=2500/9000 loss=1.569629 (A_seg=0.131925, A_bce=0.057255, A_dice=0.298681, A_z=0.287524, A_pos=0.000338, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.036876, Bcue=0.052840)  z_acc=1.0000 k_acc=1.0000
step=2750/9000 loss=1.369889 (A_seg=0.157976, A_bce=0.064179, A_dice=0.375187, A_z=0.240390, A_pos=0.000843, A_rank_img=0.039001, A_rank_cue=0.000002, Bimg=0.037042, Bcue=0.053934)  z_acc=1.0000 k_acc=1.0000
