/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/aslmt_train_v14_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 3 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 12 --z-classes 11 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/v14_master_20260418_024413_179911966af6.jsonl

step=250/9000 loss=11.932570 (A_seg=0.819763, A_bce=0.600310, A_dice=0.877813, A_z=2.170547, A_pos=0.026173, A_rank_img=1.000000, A_rank_cue=0.014111, Bimg=0.063626, Bcue=0.072526)  z_acc=0.1719 k_acc=1.0000
step=500/9000 loss=9.851749 (A_seg=0.817457, A_bce=0.598309, A_dice=0.876593, A_z=1.787773, A_pos=0.025952, A_rank_img=0.355760, A_rank_cue=0.000000, Bimg=0.062892, Bcue=0.071435)  z_acc=0.5781 k_acc=1.0000
step=750/9000 loss=8.832127 (A_seg=0.696506, A_bce=0.483818, A_dice=0.850753, A_z=1.615508, A_pos=0.021724, A_rank_img=0.210608, A_rank_cue=0.000000, Bimg=0.056012, Bcue=0.066910)  z_acc=0.6094 k_acc=1.0000
step=1000/9000 loss=7.401881 (A_seg=0.618959, A_bce=0.414983, A_dice=0.815901, A_z=1.349911, A_pos=0.011571, A_rank_img=0.121906, A_rank_cue=0.000000, Bimg=0.055431, Bcue=0.065971)  z_acc=0.6875 k_acc=1.0000
step=1250/9000 loss=7.123127 (A_seg=0.594076, A_bce=0.401929, A_dice=0.768588, A_z=1.292601, A_pos=0.009042, A_rank_img=0.255146, A_rank_cue=0.000000, Bimg=0.062709, Bcue=0.071495)  z_acc=0.5469 k_acc=1.0000
step=1500/9000 loss=6.069506 (A_seg=0.460702, A_bce=0.286593, A_dice=0.696434, A_z=1.121330, A_pos=0.008609, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055698, Bcue=0.067774)  z_acc=0.5938 k_acc=1.0000
step=1750/9000 loss=5.343305 (A_seg=0.344968, A_bce=0.194803, A_dice=0.600660, A_z=0.993284, A_pos=0.002661, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.055919, Bcue=0.067507)  z_acc=0.7344 k_acc=1.0000
step=2000/9000 loss=5.340434 (A_seg=0.356985, A_bce=0.211408, A_dice=0.582308, A_z=0.995177, A_pos=0.011371, A_rank_img=0.018893, A_rank_cue=0.000000, Bimg=0.056016, Bcue=0.068146)  z_acc=0.7812 k_acc=1.0000
step=2250/9000 loss=4.518724 (A_seg=0.283687, A_bce=0.150927, A_dice=0.531042, A_z=0.846936, A_pos=0.001425, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055491, Bcue=0.066962)  z_acc=0.7812 k_acc=1.0000
step=2500/9000 loss=4.712515 (A_seg=0.357433, A_bce=0.209100, A_dice=0.593333, A_z=0.870857, A_pos=0.003184, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.062213, Bcue=0.072008)  z_acc=0.7344 k_acc=1.0000
step=2750/9000 loss=4.438252 (A_seg=0.310353, A_bce=0.177854, A_dice=0.529995, A_z=0.819109, A_pos=0.001426, A_rank_img=0.127989, A_rank_cue=0.000000, Bimg=0.063467, Bcue=0.074930)  z_acc=0.6875 k_acc=1.0000
