/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/aslmt_train_v14_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 2 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 16 --z-classes 16 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/v14_master_20260418_024413_179911966af6.jsonl --out-ckpt /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/ckpt_20260418_024413_179911966af6_n16_z16_seed2.pt --out-faildump-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v14_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260418_024413_179911966af6/faildump_20260418_024413_179911966af6_n16_z16_seed2.jsonl

step=250/9000 loss=13.362964 (A_seg=0.934259, A_bce=0.710866, A_dice=0.893572, A_z=2.476330, A_pos=0.040564, A_rank_img=0.145570, A_rank_cue=0.002094, Bimg=0.075882, Bcue=0.083829)  z_acc=0.5000 k_acc=1.0000
step=500/9000 loss=10.944547 (A_seg=0.995562, A_bce=0.771814, A_dice=0.894991, A_z=1.967157, A_pos=0.024359, A_rank_img=0.428449, A_rank_cue=0.000000, Bimg=0.080699, Bcue=0.085821)  z_acc=0.4844 k_acc=1.0000
step=750/9000 loss=8.713914 (A_seg=0.758864, A_bce=0.547884, A_dice=0.843922, A_z=1.564271, A_pos=0.012497, A_rank_img=0.522286, A_rank_cue=0.000000, Bimg=0.075098, Bcue=0.082221)  z_acc=0.8281 k_acc=1.0000
step=1000/9000 loss=7.779154 (A_seg=0.750313, A_bce=0.540901, A_dice=0.837646, A_z=1.401267, A_pos=0.014702, A_rank_img=0.075320, A_rank_cue=0.000000, Bimg=0.075072, Bcue=0.081529)  z_acc=0.8125 k_acc=1.0000
step=1250/9000 loss=6.469790 (A_seg=0.639087, A_bce=0.445599, A_dice=0.773953, A_z=1.165706, A_pos=0.008695, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.074231, Bcue=0.082953)  z_acc=1.0000 k_acc=1.0000
step=1500/9000 loss=6.275605 (A_seg=0.650273, A_bce=0.461000, A_dice=0.757092, A_z=1.118154, A_pos=0.007485, A_rank_img=0.130767, A_rank_cue=0.000000, Bimg=0.081983, Bcue=0.087297)  z_acc=0.9844 k_acc=1.0000
step=1750/9000 loss=4.885118 (A_seg=0.509310, A_bce=0.334744, A_dice=0.698265, A_z=0.870939, A_pos=0.004453, A_rank_img=0.080003, A_rank_cue=0.000000, Bimg=0.081158, Bcue=0.087514)  z_acc=1.0000 k_acc=1.0000
step=2000/9000 loss=4.388283 (A_seg=0.355910, A_bce=0.205059, A_dice=0.603404, A_z=0.806343, A_pos=0.002629, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.074404, Bcue=0.082638)  z_acc=1.0000 k_acc=1.0000
step=2250/9000 loss=3.847294 (A_seg=0.274164, A_bce=0.149863, A_dice=0.497205, A_z=0.714574, A_pos=0.001043, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.073736, Bcue=0.081276)  z_acc=1.0000 k_acc=1.0000
step=2500/9000 loss=3.533936 (A_seg=0.348508, A_bce=0.203930, A_dice=0.578314, A_z=0.636973, A_pos=0.002262, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.081355, Bcue=0.088943)  z_acc=1.0000 k_acc=1.0000
step=2750/9000 loss=2.954185 (A_seg=0.244092, A_bce=0.140456, A_dice=0.414544, A_z=0.541974, A_pos=0.000887, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.073934, Bcue=0.083365)  z_acc=1.0000 k_acc=1.0000
