/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/aslmt_train_v15_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 0 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 12 --z-classes 6 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/v15_master_20260420_082149_5c9bb19a82ab.jsonl

step=250/9000 loss=9.514022 (A_seg=0.788648, A_bce=0.568672, A_dice=0.879905, A_z=1.709339, A_pos=0.020325, A_rank_img=0.558151, A_rank_cue=0.136241, Bimg=0.055916, Bcue=0.068627)  z_acc=0.2500 k_acc=1.0000
step=500/9000 loss=9.066709 (A_seg=0.666901, A_bce=0.456658, A_dice=0.840971, A_z=1.666377, A_pos=0.015146, A_rank_img=0.256536, A_rank_cue=0.000000, Bimg=0.055841, Bcue=0.070551)  z_acc=0.1094 k_acc=1.0000
step=750/9000 loss=9.144531 (A_seg=0.753711, A_bce=0.538320, A_dice=0.861564, A_z=1.645380, A_pos=0.013926, A_rank_img=0.641763, A_rank_cue=0.000000, Bimg=0.061256, Bcue=0.070739)  z_acc=0.2031 k_acc=1.0000
step=1000/9000 loss=8.458422 (A_seg=0.664494, A_bce=0.457757, A_dice=0.826946, A_z=1.547916, A_pos=0.011842, A_rank_img=0.205543, A_rank_cue=0.000000, Bimg=0.061666, Bcue=0.073728)  z_acc=0.3125 k_acc=1.0000
step=1250/9000 loss=8.520789 (A_seg=0.539830, A_bce=0.348767, A_dice=0.764250, A_z=1.590075, A_pos=0.004998, A_rank_img=0.117339, A_rank_cue=0.000000, Bimg=0.060485, Bcue=0.071836)  z_acc=0.0781 k_acc=1.0000
step=1500/9000 loss=8.203763 (A_seg=0.514808, A_bce=0.328136, A_dice=0.746686, A_z=1.537314, A_pos=0.007616, A_rank_img=0.001930, A_rank_cue=0.000000, Bimg=0.055205, Bcue=0.067535)  z_acc=0.1406 k_acc=1.0000
step=1750/9000 loss=8.662507 (A_seg=0.431032, A_bce=0.256294, A_dice=0.698955, A_z=1.643506, A_pos=0.005579, A_rank_img=0.050201, A_rank_cue=0.000000, Bimg=0.054755, Bcue=0.066032)  z_acc=0.0625 k_acc=1.0000
step=2000/9000 loss=7.817248 (A_seg=0.439677, A_bce=0.272118, A_dice=0.670239, A_z=1.469128, A_pos=0.002732, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.061174, Bcue=0.070560)  z_acc=0.2188 k_acc=1.0000
step=2250/9000 loss=8.495198 (A_seg=0.513736, A_bce=0.326771, A_dice=0.747858, A_z=1.595953, A_pos=0.006797, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.060211, Bcue=0.070866)  z_acc=0.0938 k_acc=1.0000
step=2500/9000 loss=8.224065 (A_seg=0.419892, A_bce=0.258022, A_dice=0.647481, A_z=1.560744, A_pos=0.001821, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.060606, Bcue=0.072799)  z_acc=0.1250 k_acc=1.0000
step=2750/9000 loss=7.802817 (A_seg=0.396399, A_bce=0.239490, A_dice=0.627635, A_z=1.480029, A_pos=0.002649, A_rank_img=0.022445, A_rank_cue=0.000000, Bimg=0.061087, Bcue=0.072807)  z_acc=0.2656 k_acc=1.0000
step=3000/9000 loss=8.124475 (A_seg=0.419140, A_bce=0.249155, A_dice=0.679942, A_z=1.534452, A_pos=0.007297, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.054702, Bcue=0.066179)  z_acc=0.2656 k_acc=1.0000
step=3250/9000 loss=7.886282 (A_seg=0.453489, A_bce=0.278389, A_dice=0.700397, A_z=1.486269, A_pos=0.005802, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.061668, Bcue=0.072493)  z_acc=0.2031 k_acc=1.0000
step=3500/9000 loss=7.334418 (A_seg=0.318675, A_bce=0.180543, A_dice=0.552528, A_z=1.403092, A_pos=0.001133, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.062305, Bcue=0.073333)  z_acc=0.2031 k_acc=1.0000
step=3750/9000 loss=8.041462 (A_seg=0.305788, A_bce=0.166470, A_dice=0.557272, A_z=1.546993, A_pos=0.002829, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.055114, Bcue=0.069297)  z_acc=0.1562 k_acc=1.0000
step=4000/9000 loss=8.201971 (A_seg=0.363783, A_bce=0.206872, A_dice=0.627644, A_z=1.561105, A_pos=0.005648, A_rank_img=0.125000, A_rank_cue=0.000000, Bimg=0.054303, Bcue=0.067867)  z_acc=0.1406 k_acc=1.0000
step=4250/9000 loss=8.436488 (A_seg=0.418348, A_bce=0.267286, A_dice=0.604249, A_z=1.595909, A_pos=0.004427, A_rank_img=0.000000, A_rank_cue=0.149959, Bimg=0.060923, Bcue=0.072471)  z_acc=0.2031 k_acc=1.0000
step=4500/9000 loss=8.006151 (A_seg=0.355626, A_bce=0.204662, A_dice=0.603856, A_z=1.529896, A_pos=0.004178, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.054959, Bcue=0.067657)  z_acc=0.1562 k_acc=1.0000
step=4750/9000 loss=7.592993 (A_seg=0.292628, A_bce=0.153735, A_dice=0.555570, A_z=1.458543, A_pos=0.002237, A_rank_img=0.028369, A_rank_cue=0.000000, Bimg=0.055155, Bcue=0.067313)  z_acc=0.2500 k_acc=1.0000
step=5000/9000 loss=7.969957 (A_seg=0.343323, A_bce=0.194557, A_dice=0.595066, A_z=1.518909, A_pos=0.001902, A_rank_img=0.126456, A_rank_cue=0.000000, Bimg=0.060571, Bcue=0.071542)  z_acc=0.1562 k_acc=1.0000
