/home/frederick/.venvs/cofrs-gpu/bin/python3 -u /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/snapshots/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/aslmt_train_v15_unified_double_barrier_minlift_seeded_pair_trainood_poswtdice_contractrank_imgcuerank_nscalable_kdet_spaced2_64_diag.py --seed 1 --steps 9000 --batch-size 64 --lr 0.001 --w-z 5.0 --w-k 0.0 --w-pos 0.25 --w-rank-img 0.25 --w-rank-cue 0.25 --rank-n-ctx 8 --rank-ood-ratio 0.5 --rank-margin 1.0 --train-ood-ratio 0.5 --pair-n-ctx 64 --img-size 64 --n-classes 8 --z-classes 8 --w-bce 1.0 --w-dice 0.25 --bce-pos-weight batch --device cuda --out-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/v15_master_20260420_082149_5c9bb19a82ab.jsonl --out-ckpt /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/ckpt_20260420_082149_5c9bb19a82ab_n8_z8_seed1.pt --out-faildump-jsonl /mnt/c/Users/frederick/Documents/forU2read/Empirical/aslmt/runs/aslmt_v15_phaseA2_unified_nscalable_poswtdice_contractrank_imgcuerank_kdet_spaced2_64_20260420_082149_5c9bb19a82ab/faildump_20260420_082149_5c9bb19a82ab_n8_z8_seed1.jsonl

step=250/9000 loss=10.057205 (A_seg=0.595111, A_bce=0.386456, A_dice=0.834618, A_z=1.841846, A_pos=0.009458, A_rank_img=0.937016, A_rank_cue=0.064982, Bimg=0.038990, Bcue=0.053542)  z_acc=0.5781 k_acc=1.0000
step=500/9000 loss=7.461493 (A_seg=0.615056, A_bce=0.405522, A_dice=0.838138, A_z=1.358221, A_pos=0.007246, A_rank_img=0.214085, A_rank_cue=0.000000, Bimg=0.044211, Bcue=0.059724)  z_acc=1.0000 k_acc=1.0000
step=750/9000 loss=6.168622 (A_seg=0.306394, A_bce=0.148207, A_dice=0.632746, A_z=1.165435, A_pos=0.001258, A_rank_img=0.138960, A_rank_cue=0.000000, Bimg=0.037293, Bcue=0.054401)  z_acc=1.0000 k_acc=1.0000
step=1000/9000 loss=4.676821 (A_seg=0.407613, A_bce=0.236621, A_dice=0.683965, A_z=0.848433, A_pos=0.002903, A_rank_img=0.105262, A_rank_cue=0.000000, Bimg=0.037254, Bcue=0.053096)  z_acc=1.0000 k_acc=1.0000
step=1250/9000 loss=3.575293 (A_seg=0.352479, A_bce=0.186399, A_dice=0.664317, A_z=0.644443, A_pos=0.002402, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.044048, Bcue=0.059431)  z_acc=1.0000 k_acc=1.0000
step=1500/9000 loss=2.804945 (A_seg=0.116154, A_bce=0.038139, A_dice=0.312060, A_z=0.537752, A_pos=0.000122, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.037392, Bcue=0.052973)  z_acc=1.0000 k_acc=1.0000
step=1750/9000 loss=2.569912 (A_seg=0.135769, A_bce=0.051640, A_dice=0.336515, A_z=0.486822, A_pos=0.000127, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.037090, Bcue=0.054615)  z_acc=1.0000 k_acc=1.0000
step=2000/9000 loss=1.880344 (A_seg=0.129838, A_bce=0.048301, A_dice=0.326150, A_z=0.350093, A_pos=0.000156, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.037737, Bcue=0.054201)  z_acc=1.0000 k_acc=1.0000
step=2250/9000 loss=1.670690 (A_seg=0.121192, A_bce=0.048243, A_dice=0.291796, A_z=0.309893, A_pos=0.000128, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.043601, Bcue=0.060720)  z_acc=1.0000 k_acc=1.0000
step=2500/9000 loss=1.452698 (A_seg=0.141831, A_bce=0.052422, A_dice=0.357637, A_z=0.261407, A_pos=0.000161, A_rank_img=0.015169, A_rank_cue=0.000000, Bimg=0.042002, Bcue=0.058634)  z_acc=1.0000 k_acc=1.0000
step=2750/9000 loss=1.372563 (A_seg=0.222772, A_bce=0.136802, A_dice=0.343881, A_z=0.223708, A_pos=0.000451, A_rank_img=0.124558, A_rank_cue=0.000000, Bimg=0.036276, Bcue=0.054037)  z_acc=1.0000 k_acc=1.0000
step=3000/9000 loss=1.007628 (A_seg=0.123143, A_bce=0.048933, A_dice=0.296840, A_z=0.176891, A_pos=0.000119, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.041124, Bcue=0.059246)  z_acc=1.0000 k_acc=1.0000
step=3250/9000 loss=0.859431 (A_seg=0.190120, A_bce=0.100572, A_dice=0.358195, A_z=0.133847, A_pos=0.000294, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039843, Bcue=0.056964)  z_acc=1.0000 k_acc=1.0000
step=3500/9000 loss=0.853311 (A_seg=0.197500, A_bce=0.099482, A_dice=0.392072, A_z=0.119255, A_pos=0.000310, A_rank_img=0.237829, A_rank_cue=0.000000, Bimg=0.039924, Bcue=0.060362)  z_acc=1.0000 k_acc=1.0000
step=3750/9000 loss=0.600393 (A_seg=0.126440, A_bce=0.045883, A_dice=0.322228, A_z=0.094771, A_pos=0.000389, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.040164, Bcue=0.059464)  z_acc=1.0000 k_acc=1.0000
step=4000/9000 loss=0.633467 (A_seg=0.192092, A_bce=0.092343, A_dice=0.398997, A_z=0.088253, A_pos=0.000438, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.040594, Bcue=0.060223)  z_acc=1.0000 k_acc=1.0000
step=4250/9000 loss=0.493119 (A_seg=0.135039, A_bce=0.055189, A_dice=0.319402, A_z=0.071610, A_pos=0.000120, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039176, Bcue=0.057811)  z_acc=1.0000 k_acc=1.0000
step=4500/9000 loss=0.492889 (A_seg=0.171138, A_bce=0.065266, A_dice=0.423487, A_z=0.064341, A_pos=0.000180, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039817, Bcue=0.058658)  z_acc=1.0000 k_acc=1.0000
step=4750/9000 loss=0.470140 (A_seg=0.202411, A_bce=0.095353, A_dice=0.428232, A_z=0.052787, A_pos=0.000371, A_rank_img=0.014804, A_rank_cue=0.000000, Bimg=0.040448, Bcue=0.059517)  z_acc=1.0000 k_acc=1.0000
step=5000/9000 loss=0.305030 (A_seg=0.071556, A_bce=0.026909, A_dice=0.178587, A_z=0.046690, A_pos=0.000100, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039893, Bcue=0.059020)  z_acc=1.0000 k_acc=1.0000
step=5250/9000 loss=0.298817 (A_seg=0.089228, A_bce=0.026356, A_dice=0.251487, A_z=0.041915, A_pos=0.000061, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034823, Bcue=0.053644)  z_acc=1.0000 k_acc=1.0000
step=5500/9000 loss=0.292433 (A_seg=0.096328, A_bce=0.037511, A_dice=0.235269, A_z=0.039214, A_pos=0.000137, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034393, Bcue=0.053432)  z_acc=1.0000 k_acc=1.0000
step=5750/9000 loss=0.226103 (A_seg=0.055024, A_bce=0.017334, A_dice=0.150759, A_z=0.034211, A_pos=0.000089, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.035168, Bcue=0.053431)  z_acc=1.0000 k_acc=1.0000
step=6000/9000 loss=0.267287 (A_seg=0.135813, A_bce=0.068561, A_dice=0.269009, A_z=0.026284, A_pos=0.000217, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.035080, Bcue=0.054371)  z_acc=1.0000 k_acc=1.0000
step=6250/9000 loss=0.237333 (A_seg=0.104448, A_bce=0.038929, A_dice=0.262078, A_z=0.026571, A_pos=0.000113, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039687, Bcue=0.058936)  z_acc=1.0000 k_acc=1.0000
step=6500/9000 loss=0.224890 (A_seg=0.112890, A_bce=0.042413, A_dice=0.281908, A_z=0.022394, A_pos=0.000123, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039975, Bcue=0.058360)  z_acc=1.0000 k_acc=1.0000
step=6750/9000 loss=0.166217 (A_seg=0.070244, A_bce=0.024331, A_dice=0.183653, A_z=0.019189, A_pos=0.000101, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034667, Bcue=0.055432)  z_acc=1.0000 k_acc=1.0000
step=7000/9000 loss=0.149974 (A_seg=0.069754, A_bce=0.023023, A_dice=0.186926, A_z=0.016039, A_pos=0.000105, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.035259, Bcue=0.055489)  z_acc=1.0000 k_acc=1.0000
step=7250/9000 loss=0.122992 (A_seg=0.056630, A_bce=0.018506, A_dice=0.152497, A_z=0.013268, A_pos=0.000082, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034755, Bcue=0.054666)  z_acc=1.0000 k_acc=1.0000
step=7500/9000 loss=0.293880 (A_seg=0.159564, A_bce=0.064243, A_dice=0.381282, A_z=0.012858, A_pos=0.000699, A_rank_img=0.279398, A_rank_cue=0.000000, Bimg=0.034891, Bcue=0.054580)  z_acc=1.0000 k_acc=1.0000
step=7750/9000 loss=0.146074 (A_seg=0.093910, A_bce=0.031995, A_dice=0.247660, A_z=0.010427, A_pos=0.000115, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034741, Bcue=0.052993)  z_acc=1.0000 k_acc=1.0000
step=8000/9000 loss=0.076848 (A_seg=0.035825, A_bce=0.012899, A_dice=0.091703, A_z=0.008201, A_pos=0.000064, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039495, Bcue=0.059790)  z_acc=1.0000 k_acc=1.0000
step=8250/9000 loss=0.174646 (A_seg=0.139892, A_bce=0.088706, A_dice=0.204742, A_z=0.006943, A_pos=0.000160, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039873, Bcue=0.059080)  z_acc=1.0000 k_acc=1.0000
step=8500/9000 loss=0.089874 (A_seg=0.056361, A_bce=0.019050, A_dice=0.149242, A_z=0.006698, A_pos=0.000082, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034271, Bcue=0.053379)  z_acc=1.0000 k_acc=1.0000
step=8750/9000 loss=0.097327 (A_seg=0.070243, A_bce=0.024623, A_dice=0.182479, A_z=0.005412, A_pos=0.000091, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.039225, Bcue=0.058118)  z_acc=1.0000 k_acc=1.0000
step=9000/9000 loss=0.079255 (A_seg=0.051696, A_bce=0.016302, A_dice=0.141578, A_z=0.005507, A_pos=0.000086, A_rank_img=0.000000, A_rank_cue=0.000000, Bimg=0.034339, Bcue=0.054231)  z_acc=1.0000 k_acc=1.0000
{"kind": "aslmt_v15_unified_double_barrier_minlift_poswtdice_contractrank_imgcuerank_spaced2_64", "seed": 1, "n_classes": 8, "z_classes": 8, "train_ood_ratio": 0.5, "rank_ood_ratio": 0.5, "rank_n_ctx": 8, "rank_margin": 1.0, "w_z": 5.0, "w_k": 0.0, "w_pos": 0.25, "w_rank_img": 0.25, "w_rank_cue": 0.25, "w_bce": 1.0, "w_dice": 0.25, "bce_pos_weight": "batch", "metrics": {"iid": {"A_iou": 0.7683650255203247, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 1.0, "k_acc": 1.0}, "ood": {"A_iou": 0.7302886098623276, "B_img_iou": 0.0, "B_cue_iou": 0.0, "z_acc": 1.0, "k_acc": 1.0}}, "pair_eval": {"iid": {"n_ctx": 64, "ood": false, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 1.0, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 1.0, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 1}, "ood": {"n_ctx": 64, "ood": true, "obs_image_barrier_ok": true, "obs_cue_barrier_ok": true, "A_both_image_pair_rate": 1.0, "A_both_cue_pair_rate": 1.0, "B_image_only_both_rate": 0.0, "B_cue_only_both_rate": 0.0, "A_ablated_both_image_pair_rate": 0.0, "A_swap_follow_image_pair_rate": 1.0, "A_swap_orig_both_image_pair_rate": 0.0, "seed": 1}}}
